51063.6;0.44977452;BID
51069.6;0.7056;BID
51069.6;0;BID
51063.6;0.44977452;BID
51070.2;0.7056;BID
51070.2;0;BID
51063.6;0.44977452;BID
51081.1;0;ASK
51082;0.19410718;ASK
51080.2;0;ASK
51082.1;0.58736806;ASK
51070.9;0;BID
51063.4;0.4687;BID
51075.1;0;BID
51061.8;0.07828358;BID
51076.3;1.18147705;ASK
51071;0.4687;BID
51076.2;4.47711808;BID
51076.2;4.58004796;BID
51078.6;0;ASK
51083.9;1.12787885;ASK
51076.2;6.537907;BID
51066;2.93737068;BID
51078.7;0;ASK
51082.7;0.03065049;ASK
51076.2;8.49576604;BID
51080.5;0.001;ASK
51068;0.001;BID
51080;0.19398394;ASK
51071.2;0;BID
51063.6;0.44977452;BID
51082.7;0;ASK
51083.9;1.12787885;ASK
51067.7;0.07655;BID
51080;0.15884299;ASK
51076.3;1.0875;ASK
51079.9;0.68133848;ASK
51080;0.1;ASK
51079.9;0.58736806;ASK
51083.9;0;ASK
51084.2;0.01561634;ASK
51076.2;8.02706604;BID
51080.5;0;ASK
51084.7;1.95753407;ASK
51081.1;0.001;ASK
51068;0;BID
51063.6;0.44977452;BID
51068.6;0.001;BID
51076.2;6.069207;BID
51071;0;BID
51063.6;0.44977452;BID
51076.3;1.18147705;ASK
51071;0.4687;BID
51082;0;ASK
51085.2;0.4687;ASK
51079.9;0;ASK
51085.6;1.95749947;ASK
51082.1;0;ASK
51086.8;0.19410718;ASK
51081.9;0;ASK
51087.5;0.32961575;ASK
51085.6;0;ASK
51087.9;1.95741119;ASK
51084.3;1.95755001;ASK
51071;0;BID
51063.6;0.44977452;BID
51068.6;0;BID
51063.4;0.4687;BID
51069.6;0.001;BID
51063.6;0;BID
51063.4;0.4687;BID
51076.2;6.127127;BID
51084.1;1.12777016;ASK
51076.2;6.069207;BID
51076.3;1.0875;ASK
51075.7;1.95787679;BID
51083.6;1.95757752;ASK
51084.3;0;ASK
51086.8;0.19410718;ASK
51082.5;1.95762122;ASK
51081.1;0;ASK
51086.8;0.19410718;ASK
51069.6;0;BID
51063.4;0.4687;BID
51083.6;0;ASK
51087.5;0.32961575;ASK
51082.3;1.95762612;ASK
51082.3;0;ASK
51087.5;0.32961575;ASK
51081.8;1.95764695;ASK
51082.5;0;ASK
51087.5;0.32961575;ASK
51081;1.95767769;ASK
51076.2;4.11134796;BID
51084.5;1.95754355;ASK
51072.8;1.95798863;BID
51084.4;0.19410718;ASK
51076.2;2.15348892;BID
51076.2;2.42587397;BID
51081.8;0;ASK
51085.2;0.4687;ASK
51066;0;BID
51063.4;0.4687;BID
51076.2;0.46801493;BID
51075.7;0;BID
51062;0.90832937;BID
51080.4;0.4;ASK
51078.1;1.95778684;ASK
51079;1.95775262;ASK
51076;1.95786528;BID
51078.1;0;ASK
51084.4;0.19410718;ASK
51076.2;0.19562988;BID
51082.6;1.9576173;ASK
51076.2;0.46801493;BID
51076.2;0.19562988;BID
51079;0;ASK
51084.4;0.19410718;ASK
51076;0;BID
51061.9;0.08279186;BID
51061.9;0.47399186;BID
51080.2;1.95770583;ASK
51076.2;2.15348892;BID
51076.2;4.11134796;BID
51076.2;4.38373301;BID
51080.4;0;ASK
51084.4;0.19410718;ASK
51072.9;0.00391556;BID
51079.7;0.4;ASK
